run,timestamp_utc,t_start_e2e,t_start_cd,t_end,cd_duration_seconds,e2e_duration_seconds
1,2026-06-28T15:43:12Z,1782661313,1782661382,1782661392,10,79
2,2026-06-28T15:45:00Z,1782661422,1782661490,1782661500,10,78
3,2026-06-28T15:46:46Z,1782661530,1782661597,1782661606,9,76
4,2026-06-28T15:49:13Z,1782661636,1782661744,1782661753,9,117
5,2026-06-28T15:50:57Z,1782661783,1782661843,1782661857,14,74
6,2026-06-28T15:52:42Z,1782661887,1782661953,1782661962,9,75
7,2026-06-28T15:54:42Z,1782661992,1782662073,1782662082,9,90
8,2026-06-28T15:56:42Z,1782662112,1782662192,1782662202,10,90
9,2026-06-28T15:58:25Z,1782662232,1782662295,1782662305,10,73
10,2026-06-28T16:00:42Z,1782662335,1782662432,1782662442,10,107
11,2026-06-28T16:02:23Z,1782662472,1782662535,1782662543,8,71
12,2026-06-28T16:04:09Z,1782662573,1782662640,1782662649,9,76
