run,timestamp_utc,t_start_e2e,t_start_cd,t_end,cd_duration_seconds,e2e_duration_seconds
1,2026-06-28T17:29:25Z,1782667679,1782667750,1782667765,15,86
2,2026-06-28T17:31:29Z,1782667795,1782667878,1782667889,11,94
3,2026-06-28T17:33:35Z,1782667919,1782668000,1782668015,15,96
4,2026-06-28T17:35:25Z,1782668045,1782668116,1782668125,9,80
5,2026-06-28T17:37:16Z,1782668156,1782668226,1782668236,10,80
6,2026-06-28T17:39:13Z,1782668266,1782668343,1782668353,10,87
7,2026-06-28T17:41:14Z,1782668384,1782668464,1782668474,10,90
8,2026-06-28T17:43:03Z,1782668504,1782668572,1782668583,11,79
9,2026-06-28T17:45:05Z,1782668613,1782668695,1782668705,10,92
10,2026-06-28T17:47:07Z,1782668736,1782668816,1782668827,11,91
11,2026-06-28T17:48:52Z,1782668857,1782668920,1782668932,12,75
12,2026-06-28T17:50:36Z,1782668962,1782669026,1782669036,10,74
