run,timestamp_utc,t_start_e2e,t_start_cd,t_end,cd_duration_seconds,e2e_duration_seconds
1,2026-06-29T05:45:20Z,1782711841,1782711905,1782711920,15,79
2,2026-06-29T05:47:11Z,1782711950,1782712017,1782712031,14,81
3,2026-06-29T05:49:01Z,1782712061,1782712124,1782712141,17,80
4,2026-06-29T05:51:05Z,1782712171,1782712249,1782712265,16,94
5,2026-06-29T05:53:01Z,1782712295,1782712364,1782712381,17,86
6,2026-06-29T05:54:51Z,1782712411,1782712475,1782712491,16,80
7,2026-06-29T05:56:45Z,1782712521,1782712590,1782712605,15,84
8,2026-06-29T05:59:00Z,1782712635,1782712721,1782712740,19,105
9,2026-06-29T06:01:10Z,1782712770,1782712854,1782712870,16,100
10,2026-06-29T06:03:18Z,1782712900,1782712978,1782712998,20,98
11,2026-06-29T06:05:21Z,1782713028,1782713108,1782713121,13,93
12,2026-06-29T06:07:30Z,1782713151,1782713233,1782713250,17,99
