run,timestamp_utc,bad_tag,t_start,t_end,detection_seconds
1,2026-06-30T04:59:32Z,sha-badbeef000,1782795565,1782795572,7
2,2026-06-30T05:00:20Z,sha-badbeef000,1782795612,1782795620,8
3,2026-06-30T05:01:06Z,sha-badbeef000,1782795659,1782795666,7
4,2026-06-30T05:01:51Z,sha-badbeef000,1782795704,1782795711,7
5,2026-06-30T05:02:36Z,sha-badbeef000,1782795749,1782795756,7
6,2026-06-30T05:03:22Z,sha-badbeef000,1782795796,1782795802,6
7,2026-06-30T05:04:08Z,sha-badbeef000,1782795841,1782795848,7
8,2026-06-30T05:04:52Z,sha-badbeef000,1782795886,1782795892,6
9,2026-06-30T05:05:38Z,sha-badbeef000,1782795931,1782795938,7
10,2026-06-30T05:06:23Z,sha-badbeef000,1782795976,1782795983,7
11,2026-06-30T05:07:09Z,sha-badbeef000,1782796023,1782796029,6
12,2026-06-30T05:07:57Z,sha-badbeef000,1782796069,1782796077,8
