run,timestamp_utc,bad_tag,t_start,t_end,detection_seconds
1,2026-06-30T05:14:56Z,sha-badbeef000,1782796487,1782796496,9
2,2026-06-30T05:15:47Z,sha-badbeef000,1782796537,1782796546,9
3,2026-06-30T05:16:35Z,sha-badbeef000,1782796586,1782796595,9
4,2026-06-30T05:17:25Z,sha-badbeef000,1782796635,1782796645,10
5,2026-06-30T05:18:13Z,sha-badbeef000,1782796684,1782796693,9
6,2026-06-30T05:19:00Z,sha-badbeef000,1782796732,1782796740,8
7,2026-06-30T05:19:49Z,sha-badbeef000,1782796780,1782796789,9
8,2026-06-30T05:22:03Z,sha-badbeef000,1782796914,1782796923,9
9,2026-06-30T05:22:52Z,sha-badbeef000,1782796963,1782796972,9
10,2026-06-30T05:23:40Z,sha-badbeef000,1782797011,1782797020,9
11,2026-06-30T05:24:28Z,sha-badbeef000,1782797059,1782797067,8
12,2026-06-30T05:26:42Z,sha-badbeef000,1782797193,1782797202,9
