run,timestamp_utc,t_start,t_end,recovery_seconds
1,2026-07-01T04:49:08Z,1782881313,1782881348,35
2,2026-07-01T04:50:21Z,1782881386,1782881421,35
3,2026-07-01T04:51:17Z,1782881458,1782881477,19
4,2026-07-01T04:52:28Z,1782881514,1782881548,34
5,2026-07-01T04:53:23Z,1782881585,1782881603,18
6,2026-07-01T04:54:35Z,1782881640,1782881675,35
7,2026-07-01T04:55:47Z,1782881714,1782881747,33
8,2026-07-01T04:58:13Z,1782881874,1782881893,19
9,2026-07-01T04:59:28Z,1782881930,1782881968,38
10,2026-07-01T05:00:44Z,1782882006,1782882044,38
11,2026-07-01T05:01:37Z,1782882081,1782882097,16
12,2026-07-01T05:02:42Z,1782882130,1782882162,32
13,2026-07-01T05:08:52Z,1782882513,1782882532,19
14,2026-07-01T05:09:38Z,1782882544,1782882578,34
15,2026-07-01T05:12:10Z,1782882698,1782882730,32
16,2026-07-01T05:12:57Z,1782882740,1782882777,37
17,2026-07-01T05:14:12Z,1782882817,1782882852,35
