run,timestamp_utc,t_start,t_end,recovery_seconds
1,2026-07-01T17:45:05Z,1782927903,1782927905,2
2,2026-07-01T17:45:42Z,1782927940,1782927942,2
3,2026-07-01T17:46:28Z,1782927987,1782927988,1
4,2026-07-01T17:47:04Z,1782928022,1782928024,2
5,2026-07-01T17:47:39Z,1782928057,1782928059,2
6,2026-07-01T17:48:44Z,1782928122,1782928123,1
7,2026-07-01T17:49:30Z,1782928161,1782928170,9
8,2026-07-01T17:50:06Z,1782928204,1782928206,2
9,2026-07-01T17:50:41Z,1782928239,1782928241,2
10,2026-07-01T17:51:46Z,1782928304,1782928305,1
11,2026-07-01T17:52:21Z,1782928339,1782928341,2
12,2026-07-01T17:53:25Z,1782928403,1782928405,2
