run,timestamp_utc,t_start,t_end,recovery_seconds
1,2026-08-20T08:14:25Z,1787213656,1787213665,9
2,2026-08-20T08:15:06Z,1787213697,1787213706,9
3,2026-08-20T08:15:48Z,1787213738,1787213748,10
4,2026-08-20T08:16:29Z,1787213779,1787213789,10
5,2026-08-20T08:17:11Z,1787213820,1787213831,11
6,2026-08-20T08:21:11Z,1787214060,1787214071,11
7,2026-08-20T08:21:52Z,1787214102,1787214112,10
8,2026-08-20T08:22:34Z,1787214144,1787214154,10
9,2026-08-20T08:23:17Z,1787214186,1787214197,11
10,2026-08-20T08:28:24Z,1787214494,1787214504,10
11,2026-08-20T08:29:06Z,1787214536,1787214546,10
12,2026-08-20T08:29:49Z,1787214578,1787214589,11
