timestamp_utc,scenario,pod,cpu_millicores,memory_mib
2026-04-24T08:02:05Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:05Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:05Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:05Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:05Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:05Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:05Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:06Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:06Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:06Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:06Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:06Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:06Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:06Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:07Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:07Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:07Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:07Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:07Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:07Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:07Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:08Z,combined,argocd-application-controller-0,3m,161Mi
2026-04-24T08:02:08Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:08Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:08Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
