timestamp_utc,pod,cpu_percent,memory_mib
2026-07-04T16:41:05.128Z,jenkins-process,3.6,593.57
2026-07-04T16:41:06.282Z,jenkins-process,3.6,593.57
2026-07-04T16:41:07.043Z,jenkins-process,3.6,593.57
2026-07-04T16:41:07.762Z,jenkins-process,3.6,593.57
2026-07-04T16:41:08.583Z,jenkins-process,3.6,593.58
2026-07-04T16:41:09.442Z,jenkins-process,3.6,593.58
2026-07-04T16:41:10.229Z,jenkins-process,3.6,593.58
2026-07-04T16:41:10.992Z,jenkins-process,3.6,593.49
2026-07-04T16:41:11.827Z,jenkins-process,3.6,593.49
2026-07-04T16:41:12.672Z,jenkins-process,3.6,593.49
2026-07-04T16:41:13.517Z,jenkins-process,3.6,593.50
2026-07-04T16:41:14.254Z,jenkins-process,3.6,593.50
2026-07-04T16:41:15.038Z,jenkins-process,3.6,593.50
2026-07-04T16:41:15.929Z,jenkins-process,3.6,593.50
2026-07-04T16:41:16.836Z,jenkins-process,3.6,593.50
2026-07-04T16:41:17.569Z,jenkins-process,3.6,593.50
2026-07-04T16:41:18.324Z,jenkins-process,3.6,593.50
2026-07-04T16:41:19.125Z,jenkins-process,3.6,593.50
2026-07-04T16:41:20.016Z,jenkins-process,3.6,593.50
2026-07-04T16:41:20.875Z,jenkins-process,3.6,593.50
2026-07-04T16:41:21.593Z,jenkins-process,3.6,593.50
2026-07-04T16:41:22.352Z,jenkins-process,3.6,593.50
2026-07-04T16:41:23.129Z,jenkins-process,3.6,593.50
2026-07-04T16:41:23.998Z,jenkins-process,3.6,593.50
2026-07-04T16:41:24.855Z,jenkins-process,3.6,593.50
2026-07-04T16:41:25.649Z,jenkins-process,3.6,593.50
2026-07-04T16:41:26.486Z,jenkins-process,3.6,593.50
2026-07-04T16:41:27.266Z,jenkins-process,3.6,593.50
2026-07-04T16:41:28.012Z,jenkins-process,3.6,593.50
2026-07-04T16:41:28.854Z,jenkins-process,3.6,593.50
2026-07-04T16:41:29.630Z,jenkins-process,3.5,593.50
2026-07-04T16:41:30.479Z,jenkins-process,3.5,593.50
2026-07-04T16:41:31.391Z,jenkins-process,3.5,593.50
2026-07-04T16:41:32.176Z,jenkins-process,3.5,593.50
2026-07-04T16:41:32.949Z,jenkins-process,3.5,593.50
2026-07-04T16:41:33.837Z,jenkins-process,3.5,593.51
2026-07-04T16:41:34.708Z,jenkins-process,3.5,593.51
2026-07-04T16:41:35.582Z,jenkins-process,3.5,593.51
2026-07-04T16:41:36.441Z,jenkins-process,3.5,593.51
