run,timestamp_utc,t_start,t_revert,t_end,reaction_seconds,recovery_seconds
1,2026-07-05T12:41:44Z,1783255296,1783255297,1783255304,1,8
2,2026-07-05T12:41:54Z,1783255306,1783255307,1783255314,1,8
3,2026-07-05T12:42:04Z,1783255316,1783255317,1783255324,1,8
4,2026-07-05T12:42:22Z,1783255326,1783255334,1783255342,8,16
5,2026-07-05T12:43:15Z,1783255343,1783255388,1783255395,45,52
6,2026-07-05T12:45:53Z,1783255397,1783255550,1783255553,153,156
7,2026-07-05T12:50:53Z,1783255555,1783255850,1783255853,295,298
8,2026-07-05T12:55:53Z,1783255854,1783256150,1783256153,296,299
9,2026-07-05T13:00:53Z,1783256155,1783256450,1783256453,295,298
10,2026-07-05T13:05:53Z,1783256454,1783256750,1783256753,296,299
11,2026-07-05T13:10:53Z,1783256755,1783257050,1783257053,295,298
12,2026-07-05T13:15:53Z,1783257055,1783257350,1783257353,295,298
