run,timestamp_utc,t_start,t_revert,t_end,reaction_seconds,recovery_seconds
1,2026-07-05T11:44:18Z,1783251808,1783251851,1783251858,43,50
2,2026-07-05T11:45:19Z,1783251860,1783251913,1783251919,53,59
3,2026-07-05T11:46:16Z,1783251921,1783251974,1783251976,53,55
4,2026-07-05T11:47:14Z,1783251977,1783252031,1783252034,54,57
5,2026-07-05T11:48:16Z,1783252035,1783252089,1783252096,54,61
6,2026-07-05T11:49:13Z,1783252098,1783252150,1783252153,52,55
7,2026-07-05T11:50:16Z,1783252155,1783252209,1783252216,54,61
8,2026-07-05T11:51:10Z,1783252218,1783252267,1783252270,49,52
9,2026-07-05T11:52:11Z,1783252271,1783252328,1783252331,57,60
10,2026-07-05T11:53:14Z,1783252332,1783252391,1783252394,59,62
11,2026-07-05T11:54:18Z,1783252396,1783252454,1783252458,58,62
12,2026-07-05T11:55:17Z,1783252459,1783252513,1783252517,54,58
