run,timestamp_utc,t_start,t_revert,t_end,reaction_seconds,recovery_seconds
1,2026-08-20T07:58:09Z,1787212626,1787212684,1787212689,58,63
2,2026-08-20T07:59:09Z,1787212690,1787212743,1787212749,53,59
3,2026-08-20T08:00:14Z,1787212751,1787212804,1787212814,53,63
4,2026-08-20T08:01:10Z,1787212816,1787212864,1787212870,48,54
5,2026-08-20T08:02:09Z,1787212871,1787212924,1787212929,53,58
6,2026-08-20T08:03:09Z,1787212934,1787212987,1787212989,53,55
7,2026-08-20T08:04:10Z,1787212993,1787213045,1787213050,52,57
8,2026-08-20T08:05:09Z,1787213052,1787213103,1787213109,51,57
9,2026-08-20T08:06:06Z,1787213112,1787213165,1787213166,53,54
10,2026-08-20T08:07:10Z,1787213167,1787213224,1787213230,57,63
11,2026-08-20T08:08:09Z,1787213233,1787213284,1787213289,51,56
12,2026-08-20T08:09:05Z,1787213291,1787213343,1787213345,52,54
